X,Y,Z
-105.7251388890476,39.65097222252792,3553.31787109375
-105.72458333349152,39.65097222252792,3529.644775390625
-105.72402777793546,39.65097222252792,3504.001708984375
-105.72319444460135,39.65097222252792,3473.67236328125
-105.72263888904527,39.65097222252792,3460.248291015625
-105.72208333348921,39.65097222252792,3445.749755859375
-105.72152777793313,39.65097222252792,3426.12646484375
-105.72097222237706,39.65097222252792,3413.142333984375
-105.720416666821,39.65097222252792,3413.104736328125
-105.71958333348688,39.65097222252792,3413.431884765625
-105.7190277779308,39.65097222252792,3403.97509765625
-105.71847222237474,39.65097222252792,3396.20458984375
-105.71791666681867,39.65097222252792,3385.64306640625
-105.71736111126259,39.65097222252792,3377.444091796875
-105.71680555570651,39.65097222252792,3373.500244140625
-105.71597222237241,39.65097222252792,3384.465087890625
-105.71541666681634,39.65097222252792,3393.04345703125
-105.71486111126026,39.65097222252792,3398.986083984375
-105.7143055557042,39.65097222252792,3363.32666015625
-105.71375000014812,39.65097222252792,3312.703369140625
-105.71291666681401,39.65097222252792,3247.3193359375
-105.71236111125795,39.65097222252792,3210.544921875
-105.71180555570187,39.65097222252792,3187.874267578125
-105.7112500001458,39.65097222252792,3165.30712890625
-105.71069444458973,39.65097222252792,3135.943359375
-105.71013888903366,39.65097222252792,3109.9287109375
-105.70930555569954,39.65097222252792,3073.826171875
-105.70875000014348,39.65097222252792,3059.787109375
-105.7081944445874,39.65097222252792,3058.22021484375
-105.70763888903133,39.65097222252792,3058.6611328125
-105.70708333347527,39.65097222252792,3058.065185546875
-105.70625000014115,39.65097222252792,3074.136474609375
-105.70569444458508,39.65097222252792,3104.79541015625
-105.70513888902902,39.65097222252792,3138.911376953125
-105.70458333347294,39.65097222252792,3175.6455078125
-105.70402777791686,39.65097222252792,3224.95751953125
-105.70347222236079,39.65097222252792,3257.024658203125
-105.70263888902669,39.65097222252792,3313.43017578125
-105.70208333347061,39.65097222252792,3347.721435546875
-105.70152777791454,39.65097222252792,3390.053955078125
-105.70097222235847,39.65097222252792,3408.065185546875
-105.7004166668024,39.65097222252792,3412.90576171875
-105.69986111124632,39.65097222252792,3423.3671875
-105.69902777791222,39.65097222252792,3447.189453125
-105.69847222235614,39.65097222252792,3467.384521484375
-105.69791666680007,39.65097222252792,3490.6337890625
